abn,name,category,sources,state,postcode,registration_date,found_at_url
40009668553,Australian Institute of Management Education and Training Pty Ltd,Education/Training,RTO,NSW,2000,1999-11-01 00:00:00,https://training.gov.au/organisation/details/0049
51403781986,AUTOMATION APPLICATIONS,"",ABR-Search,NSW,2153,1999-11-01 00:00:00,""
92089018806,AUTOMATION DESIGN PTY LTD,"",ABR-Search,NSW,2681,1999-11-01 00:00:00,""
99076010583,Embedded Network Manager,"",ABR-Search,VIC,3149,1999-11-01 00:00:00,""
79500967084,Embedded Systems Design,"",ABR-Search,VIC,3523,1999-11-01 00:00:00,""
33089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"",ABR-Search,VIC,3931,1999-11-01 00:00:00,""
75913771389,PLATFORM ARTS INC,"",ABR-Search,VIC,3220,1999-11-01 00:00:00,""
22002072184,RAINBOW MODELLING CLAY,"",ABR-Search,NSW,2120,2000-01-17 00:00:00,""
97002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"",ABR-Search,NSW,2097,2000-01-20 00:00:00,""
92091253137,FUTURE PLATFORM PTY LIMITED,"",ABR-Search,NSW,2095,2000-02-01 00:00:00,""
80003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"",ABR-Search,NSW,2022,2000-02-02 00:00:00,""
71064692360,AUTOMATION BY DESIGN,"",ABR-Search,VIC,3180,2000-02-25 00:00:00,""
46003154452,PLATFORM G,"",ABR-Search,NSW,2022,2000-02-25 00:00:00,""
65009205243,SIMULATION MODELLING SERVICES PTY. LTD.,"",ABR-Search,NSW,2302,2000-03-07 00:00:00,""
40005377588,SYSTOM PTY. LIMITED,"",ABR-Search,VIC,3444,2000-03-08 00:00:00,""
14003491727,4CONTROL AUTOMATION,"",ABR-Search,NSW,2333,2000-03-10 00:00:00,""
58209574933,Adelaide Training and Employment Centre Inc,Education/Training,RTO,SA,5013,2000-03-17 00:00:00,https://training.gov.au/organisation/details/0022
52003191302,TELEMETRICS PTY LTD,"",ABR-Search,NSW,2061,2000-03-22 00:00:00,""
94001831554,AUTOMATION CONSULTANTS AUSTRALIA PTY LTD,"",ABR-Search,NSW,2067,2000-03-22 00:00:00,""
71080736456,ASHT Pty Ltd,Education/Training,RTO,SA,5000,2000-03-28 00:00:00,https://training.gov.au/organisation/details/0137
54050998493,The Suzan Johnston Organization (Aust) Pty Ltd,Education/Training,RTO,VIC,3000,2000-03-28 00:00:00,https://training.gov.au/organisation/details/0170
67079682661,DECISION MODELLING GROUP PTY LIMITED,"",ABR-Search,NSW,2132,2000-03-28 00:00:00,""
36003419789,Mobile Welding Services Pty Ltd,Education/Training,RTO,NSW,2765,2000-04-01 00:00:00,https://training.gov.au/organisation/details/0485
76091205211,Integrated Construction Modelling,"",ABR-Search,SA,5022,2000-04-01 00:00:00,""
13308821704,MIDAS MODELLING TRUST,"",ABR-Search,VIC,3081,2000-04-04 00:00:00,""
